City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Porangatu,BR,76.91,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
260,Mirabad,AF,81.86,broken clouds,30.4362,61.8383,
261,Chapleau,CA,59.11,broken clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
262,Idukki,IN,68.79,overcast clouds,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
263,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
264,Wanning,CN,82.69,light rain,18.8003,110.3967,Paradise Hotel
265,Fuerte Olimpo,PY,53.69,clear sky,-21.0415,-57.8738,Hospedaje DAMI
267,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
268,Zlobin,HR,64.58,scattered clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
269,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
270,Dharchula,IN,71.33,light rain,29.85,80.5333,Mahara Hotel
271,Katsuura,JP,82.42,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
272,Bastia,FR,80.29,clear sky,42.6667,9.3333,Hotel Santa Maria
273,Jardim De Piranhas,BR,75.15,few clouds,-6.3786,-37.3519,Jardim de piranhas
275,Sambava,MG,67.64,light rain,-14.2667,50.1667,Melrose
276,Minot,US,71.82,clear sky,48.2325,-101.2963,Noble Inn
277,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
278,Revelstoke,CA,89.49,scattered clouds,50.9832,-118.2023,Best Western Plus Revelstoke
279,Visby,SE,64.81,overcast clouds,57.6409,18.296,Best Western Solhem Hotel Visby
280,Sabha,LY,82.29,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
281,Pimenta Bueno,BR,68.22,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
282,Bagdarin,RU,56.55,light rain,54.4333,113.6,Gostevoy Dom Terem
283,Evensk,RU,54.37,light rain,61.95,159.2333,
284,Leticia,CO,75.25,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
285,Hervey Bay,AU,68.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
286,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
287,Charters Towers,AU,73.0,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
289,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
290,Primorsk,UA,76.77,broken clouds,46.7348,36.3443,Relax
292,Ambilobe,MG,63.43,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
293,Kisanga,TZ,69.37,light rain,-7.4362,37.7034,
294,Bograd,RU,67.89,clear sky,54.2344,90.8328,Gostinitsa Berezka
295,Lunglei,IN,74.55,broken clouds,22.8833,92.7333,Hotel Elite
296,Boulder,US,85.15,clear sky,40.0833,-105.3505,Deck House Boulder
297,Kavieng,PG,83.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
298,Porbandar,IN,81.12,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
300,Moree,AU,63.61,overcast clouds,-29.4667,149.85,Molika Springs Motel
301,Clones,IE,54.88,clear sky,54.1833,-7.2333,Creighton Hotel
302,Micheweni,TZ,73.76,scattered clouds,-4.9667,39.8333,
303,Kodiak,US,56.71,mist,57.79,-152.4072,Best Western Kodiak Inn
304,Alquizar,CU,81.09,few clouds,22.8058,-82.5842,Bueno ya basta
305,Vikulovo,RU,60.66,few clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
306,Aberystwyth,GB,63.32,clear sky,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
307,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
308,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,Celldomolk,HU,57.96,clear sky,47.2571,17.1503,JUFA Hotel Celldömölk - Aktiv & Wellness-Resort
310,Sur,OM,89.58,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
311,Ternate,ID,83.64,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
312,Tupelo,US,79.09,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
313,Sorumsand,NO,58.12,few clouds,59.9851,11.2398,Sudrheimgruppen
314,Catuday,PH,82.53,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
316,Bang Yai,TH,84.18,overcast clouds,13.8434,100.3625,Thai House Hotel
317,Sao Joao Da Barra,BR,69.33,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
318,Tashigang,BT,79.12,few clouds,27.3331,91.5542,Lingkhar Lodge
319,Peddapalli,IN,76.08,overcast clouds,18.6167,79.3667,THE PEDDAPALLI ROCKS/VLOGS/EXTRAS & AF PRODUCTIONS
320,Cidreira,BR,58.3,overcast clouds,-30.1811,-50.2056,Hotel Castelo
321,Muros,ES,68.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
322,Huarmey,PE,62.55,scattered clouds,-10.0681,-78.1522,Hotel Miramar
323,Rawson,AR,49.66,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
324,Lethem,GY,81.54,overcast clouds,3.3803,-59.7968,Savannah Inn
325,Lavrentiya,RU,48.85,broken clouds,65.5833,-171.0,
326,Kalutara,LK,79.45,overcast clouds,6.5831,79.9593,Tangerine Beach Hotel
327,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
328,Constitucion,CL,47.82,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
329,Mucurapo,TT,81.25,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
330,Nyimba,ZM,62.46,clear sky,-14.5566,30.8149,Dali Dali Lodge
332,Alghero,IT,71.69,clear sky,40.5589,8.3181,Smy Carlos V Alghero
333,Esso,RU,61.86,overcast clouds,55.9333,158.7,Paramushir Tur
334,Susaki,JP,86.07,overcast clouds,33.3667,133.2833,Awa
335,Shingu,JP,86.7,overcast clouds,33.7333,135.9833,Shingu UI Hotel
336,Sechenovo,RU,58.77,overcast clouds,55.2244,45.8906,
337,Piacabucu,BR,70.93,clear sky,-10.4056,-36.4344,Piaçabuçu News
338,Cherskiy,RU,68.88,clear sky,68.75,161.3,Gostinitsa
339,Zavetnoye,RU,75.36,scattered clouds,47.1194,43.8903,
340,Solnechnyy,RU,63.27,broken clouds,50.7214,136.6319,Hotel complex Pastoral
341,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
342,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
343,Mnogovershinnyy,RU,58.46,light rain,53.9353,139.9242,Obshchezhitiye 14
344,Mezen,RU,54.43,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
345,Gamba,GA,69.85,broken clouds,-2.65,10.0,
346,Akhmeta,GE,73.92,clear sky,42.0311,45.2075,Hostel Kakheti
347,Quatre Cocos,MU,67.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
348,Galveston,US,78.01,overcast clouds,29.3669,-94.9669,Crystal Suites
349,Basco,PH,83.86,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
350,Airai,TL,72.64,scattered clouds,-8.9266,125.4092,
351,Omsukchan,RU,53.62,overcast clouds,62.5333,155.8,
352,Yulara,AU,57.99,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
353,Khyriv,UA,53.64,scattered clouds,49.5333,22.8524,Layar Palace
354,Mbanza-Ngungu,CD,67.77,clear sky,-5.25,14.8667,Hotel Full Business
355,Tiznit,MA,69.6,clear sky,29.5833,-9.5,
356,Preobrazheniye,RU,73.22,overcast clouds,42.9019,133.9064,Campsite Orlan
358,Seoul,KR,76.6,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
359,Ribnitz-Damgarten,DE,63.1,clear sky,54.25,12.4667,Perle am Bodden
360,Oltedal,NO,59.2,overcast clouds,58.831,6.0466,Gapahuk Oltedal
361,Atambua,ID,82.49,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
362,Lata,PT,60.96,clear sky,40.1629,-8.3327,Casa Maquia
363,Luderitz,,55.58,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
366,Takoradi,GH,72.54,clear sky,4.8845,-1.7554,Raybow International Hotel
367,Huangnihe,CN,62.2,light rain,43.5583,128.0239,Jinxin Bathing Fashion Hotel
368,Tommot,RU,56.73,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
369,Andenes,NO,53.92,overcast clouds,69.3143,16.1194,Hotell Marena
370,Beaverlodge,CA,79.59,clear sky,55.2166,-119.4361,Side Trax Inn
