City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Hasaki,JP,2022-08-10 21:56:09,35.7333,140.8333,82.8,87,84,15.37
211,Kolyvan,RU,2022-08-10 21:56:10,55.3053,82.7391,53.22,85,11,6.98
212,Esperance,AU,2022-08-10 21:56:10,-33.8667,121.9,56.53,73,69,19.64
213,Faya,SA,2022-08-10 21:54:18,18.3851,42.4509,68.11,74,88,2.82
214,Kaeo,NZ,2022-08-10 21:56:11,-35.1,173.7833,53.33,90,92,10.22
215,Kerman,IR,2022-08-10 21:56:11,30.2832,57.0788,84.06,23,0,11.5
216,Krasnoselkup,RU,2022-08-10 21:56:12,65.7,82.4667,46.31,76,27,7.16
217,Zavodouspenskoye,RU,2022-08-10 21:56:12,56.8626,65.0155,64.49,93,4,1.59
218,Abu Samrah,SY,2022-08-10 21:56:12,35.3029,37.1841,74.26,71,0,13.38
219,Balkhash,KZ,2022-08-10 21:56:13,46.844,74.9804,71.31,59,25,7.67
220,Bonthe,SL,2022-08-10 21:56:13,7.5264,-12.505,76.08,91,100,10.65
221,Kapoeta,SS,2022-08-10 21:56:14,4.7717,33.5903,79.72,53,100,2.3
222,Guerrero Negro,MX,2022-08-10 21:56:14,27.9769,-114.0611,78.15,63,76,14.34
223,Cao Bang,VN,2022-08-10 21:56:14,22.6667,106.25,75.27,98,100,3.24
224,Dongargaon,IN,2022-08-10 21:56:15,20.9667,80.85,74.5,93,100,12.93
225,Chikwawa,MW,2022-08-10 21:56:15,-16.0335,34.8009,67.57,59,0,2.26
226,Saint-Pierre,RE,2022-08-10 21:56:16,-21.3393,55.4781,67.91,68,20,9.22
227,Serafimovich,RU,2022-08-10 21:56:16,49.5786,42.736,82.54,32,55,10.16
228,Broken Hill,AU,2022-08-10 21:54:31,-31.95,141.4333,51.35,87,100,19.89
229,Baruun-Urt,MN,2022-08-10 21:56:17,46.6806,113.2792,58.87,67,96,0.38
230,Waipawa,NZ,2022-08-10 21:56:17,-41.4122,175.5153,43.36,74,99,7.63
231,Camacha,PT,2022-08-10 21:54:15,33.0833,-16.3333,67.42,78,40,10.36
232,Vavoua,CI,2022-08-10 21:56:18,7.3819,-6.4778,72.5,91,80,3.94
233,Bonavista,CA,2022-08-10 21:56:18,48.6499,-53.1147,56.98,77,96,10.31
234,Mujiayingzi,CN,2022-08-10 21:56:18,42.1167,118.7833,64.87,58,17,3.13
235,Avera,US,2022-08-10 21:56:19,33.194,-82.5271,89.11,39,94,4.74
236,Clyde River,CA,2022-08-10 21:56:19,70.4692,-68.5914,41.79,72,95,3.38
237,Silver City,US,2022-08-10 21:56:20,32.7701,-108.2803,82.36,54,40,8.05
238,Zyryanka,RU,2022-08-10 21:56:20,65.75,150.85,69.44,57,100,11.03
239,Steamboat Springs,US,2022-08-10 21:56:20,40.485,-106.8317,93.34,17,0,5.75
240,Luderitz,NA,2022-08-10 21:56:21,-26.6481,15.1594,57.09,65,38,8.16
241,Butaritari,KI,2022-08-10 21:56:21,3.0707,172.7902,82.02,74,87,20.6
242,Talcahuano,CL,2022-08-10 21:56:22,-36.7167,-73.1167,50.16,80,0,6.04
243,Kizema,RU,2022-08-10 21:56:22,61.113,44.8302,53.71,95,99,4.43
244,Dekar,BW,2022-08-10 21:56:22,-21.5333,21.9333,60.98,15,0,9.01
245,Masterton,NZ,2022-08-10 21:56:23,-40.9597,175.6575,46.89,80,96,4.59
246,Hovd,MN,2022-08-10 21:56:23,48.0056,91.6419,68.34,35,100,4.56
247,Yulara,AU,2022-08-10 21:56:24,-25.2406,130.9889,50.77,49,100,2.19
248,Kahului,US,2022-08-10 21:53:08,20.8947,-156.47,89.62,45,20,27.63
249,Ponta Do Sol,PT,2022-08-10 21:56:24,32.6667,-17.1,72.23,83,47,5.84
250,Hokitika,NZ,2022-08-10 21:56:25,-42.7167,170.9667,45.7,58,0,5.32
251,Tuatapere,NZ,2022-08-10 21:56:25,-46.1333,167.6833,38.43,87,19,4.0
252,Cherskiy,RU,2022-08-10 21:56:25,68.75,161.3,62.35,61,0,2.46
253,Maragogi,BR,2022-08-10 21:56:26,-9.0122,-35.2225,74.01,78,3,5.48
254,Kutum,SD,2022-08-10 21:56:26,14.2,24.6667,75.33,64,91,5.5
255,Flagstaff,US,2022-08-10 21:56:27,35.1981,-111.6513,69.33,79,100,4.61
256,Fort Nelson,CA,2022-08-10 21:56:27,58.8053,-122.7002,87.46,26,1,1.41
257,Nyurba,RU,2022-08-10 21:56:28,63.2842,118.3319,58.14,83,100,3.42
258,Russell,US,2022-08-10 21:56:28,32.3502,-85.1999,83.37,45,98,2.73
259,Lusambo,CD,2022-08-10 21:56:28,-4.9667,23.45,74.64,30,80,1.23
260,Kisangani,CD,2022-08-10 21:56:29,0.5167,25.2,75.6,72,77,1.83
261,Constitucion,CL,2022-08-10 21:56:29,-35.3333,-72.4167,51.17,78,0,8.88
262,Maniitsoq,GL,2022-08-10 21:56:30,65.4167,-52.9,43.07,88,100,2.75
263,Troitsko-Pechorsk,RU,2022-08-10 21:56:30,62.7084,56.1964,54.93,83,100,7.11
264,Talnakh,RU,2022-08-10 21:56:31,69.4865,88.3972,47.21,80,100,6.82
265,Prainha,BR,2022-08-10 21:56:31,-1.8,-53.48,83.62,49,55,3.58
266,Poya,NC,2022-08-10 21:56:31,-21.35,165.15,69.3,56,8,11.3
267,La Palma,US,2022-08-10 21:56:32,33.8464,-118.0467,102.87,48,20,12.66
268,Kopavogur,IS,2022-08-10 21:56:32,64.1123,-21.913,50.22,81,75,10.36
269,Kaoma,ZM,2022-08-10 21:56:33,-14.7833,24.8,57.69,33,0,5.64
270,Mana,GF,2022-08-10 21:56:33,5.6592,-53.7767,79.5,85,58,9.28
271,Ternate,ID,2022-08-10 21:56:33,0.8,127.4,79.74,81,36,2.75
272,Masallatah,LY,2022-08-10 21:56:34,32.6167,14.0,75.69,76,0,2.77
273,Pilot Butte,CA,2022-08-10 21:56:34,50.4668,-104.4178,76.66,57,100,7.65
274,Lata,PT,2022-08-10 21:56:35,40.1629,-8.3327,62.29,94,0,1.81
275,Guangyuan,CN,2022-08-10 21:56:35,32.442,105.823,78.76,86,93,2.82
276,Manono,CD,2022-08-10 21:56:36,-7.3,27.4167,74.32,22,54,4.54
277,Ahipara,NZ,2022-08-10 21:56:36,-35.1667,173.1667,55.33,73,94,7.27
278,Jardim,BR,2022-08-10 21:56:36,-21.4803,-56.1381,56.61,68,0,6.64
279,Binabalian,PH,2022-08-10 21:56:37,16.4202,119.9279,81.37,79,97,9.6
280,Buala,SB,2022-08-10 21:56:37,-8.145,159.5921,82.04,74,56,6.51
281,Buraydah,SA,2022-08-10 21:56:38,26.326,43.975,97.25,16,28,9.4
282,Saint-Ambroise,CA,2022-08-10 21:56:38,48.5501,-71.3324,75.58,55,15,7.29
283,Mackay,AU,2022-08-10 21:56:38,-21.15,149.2,61.68,73,83,12.68
284,Arcata,US,2022-08-10 21:56:39,40.8665,-124.0828,75.36,72,1,7.0
285,Stonewall,CA,2022-08-10 21:56:39,50.1344,-97.3268,76.71,40,50,10.67
286,Severo-Kurilsk,RU,2022-08-10 21:53:03,50.6789,156.125,56.52,90,46,9.86
287,Catuday,PH,2022-08-10 21:56:40,16.2923,119.8062,78.71,80,100,9.4
288,Altamira,BR,2022-08-10 21:56:40,-3.2033,-52.2064,89.69,58,0,2.3
289,Walvis Bay,NA,2022-08-10 21:56:41,-22.9575,14.5053,54.09,100,2,3.44
290,Shimoda,JP,2022-08-10 21:56:41,34.6667,138.95,86.11,80,79,3.4
291,Kenai,US,2022-08-10 21:52:12,60.5544,-151.2583,65.03,57,0,12.66
292,Kaseda,JP,2022-08-10 21:56:42,31.4167,130.3167,82.24,80,74,1.07
293,Razdolinsk,RU,2022-08-10 21:56:42,58.4211,94.6658,51.19,91,5,2.98
294,Longyearbyen,SJ,2022-08-10 21:56:02,78.2186,15.6401,48.04,71,75,9.22
